# Temp u g r i z U B V R I NUV FUV M2 W1 W2
4.000000000000000000e+04 -2.785890000000000200e+00 -3.220559999999999867e+00 -3.716709999999999958e+00 -4.077820000000000000e+00 -4.415289999999999715e+00 -2.011480000000000157e+00 -3.202739999999999920e+00 -3.483649999999999913e+00 -3.762579999999999814e+00 -3.584779999999999855e+00 -2.188959999999999795e+00 -1.887909999999999977e+00 -2.176340000000000163e+00 -2.311589999999999812e+00 -2.061739999999999906e+00
4.100000000000000000e+04 -2.850509999999999877e+00 -3.289229999999999876e+00 -3.788559999999999928e+00 -4.151299999999999990e+00 -4.489980000000000082e+00 -2.076249999999999929e+00 -3.270560000000000134e+00 -3.554310000000000080e+00 -3.836570000000000036e+00 -3.656960000000000210e+00 -2.242150000000000087e+00 -1.925419999999999909e+00 -2.229429999999999801e+00 -2.367440000000000211e+00 -2.109970000000000123e+00
4.200000000000000000e+04 -2.913990000000000080e+00 -3.356549999999999923e+00 -3.858900000000000219e+00 -4.223180000000000156e+00 -4.563010000000000232e+00 -2.139889999999999848e+00 -3.337079999999999824e+00 -3.623520000000000074e+00 -3.908929999999999794e+00 -3.727609999999999868e+00 -2.294810000000000016e+00 -1.963260000000000005e+00 -2.281979999999999897e+00 -2.422600000000000087e+00 -2.157939999999999969e+00
4.300000000000000000e+04 -2.976360000000000117e+00 -3.422569999999999890e+00 -3.927779999999999827e+00 -4.293540000000000134e+00 -4.634470000000000312e+00 -2.202409999999999979e+00 -3.402330000000000076e+00 -3.691329999999999778e+00 -3.979750000000000121e+00 -3.796790000000000109e+00 -2.346909999999999830e+00 -2.001329999999999831e+00 -2.334010000000000140e+00 -2.477069999999999883e+00 -2.205600000000000005e+00
4.400000000000000000e+04 -3.037669999999999870e+00 -3.487330000000000041e+00 -3.995270000000000099e+00 -4.362420000000000186e+00 -4.704399999999999693e+00 -2.263850000000000140e+00 -3.466369999999999951e+00 -3.757789999999999964e+00 -4.049070000000000391e+00 -3.864559999999999995e+00 -2.398470000000000102e+00 -2.039569999999999883e+00 -2.385479999999999823e+00 -2.530870000000000175e+00 -2.252920000000000034e+00
4.500000000000000000e+04 -3.097929999999999851e+00 -3.550889999999999880e+00 -4.061420000000000030e+00 -4.429899999999999949e+00 -4.772859999999999658e+00 -2.324240000000000084e+00 -3.529230000000000089e+00 -3.822970000000000201e+00 -4.116970000000000240e+00 -3.930969999999999853e+00 -2.449460000000000193e+00 -2.077920000000000211e+00 -2.436399999999999899e+00 -2.583990000000000009e+00 -2.299889999999999990e+00
4.600000000000000000e+04 -3.157179999999999875e+00 -3.613269999999999982e+00 -4.126269999999999882e+00 -4.496030000000000193e+00 -4.839920000000000222e+00 -2.383620000000000072e+00 -3.590959999999999930e+00 -3.886899999999999800e+00 -4.183489999999999931e+00 -3.996090000000000142e+00 -2.499880000000000102e+00 -2.116330000000000044e+00 -2.486759999999999859e+00 -2.636420000000000208e+00 -2.346490000000000187e+00
4.700000000000000000e+04 -3.215440000000000076e+00 -3.674519999999999786e+00 -4.189890000000000114e+00 -4.560859999999999914e+00 -4.905640000000000001e+00 -2.442000000000000171e+00 -3.651590000000000114e+00 -3.949629999999999974e+00 -4.248700000000000365e+00 -4.059940000000000104e+00 -2.549739999999999895e+00 -2.154760000000000009e+00 -2.536550000000000082e+00 -2.688159999999999883e+00 -2.392700000000000049e+00
4.800000000000000000e+04 -3.272759999999999891e+00 -3.734690000000000065e+00 -4.252299999999999969e+00 -4.624430000000000263e+00 -4.970060000000000144e+00 -2.499429999999999819e+00 -3.711149999999999949e+00 -4.011199999999999655e+00 -4.312640000000000029e+00 -4.122589999999999755e+00 -2.599029999999999951e+00 -2.193150000000000155e+00 -2.585780000000000189e+00 -2.739240000000000119e+00 -2.438509999999999955e+00
4.900000000000000000e+04 -3.329140000000000210e+00 -3.793800000000000061e+00 -4.313570000000000348e+00 -4.686799999999999855e+00 -5.033240000000000158e+00 -2.555919999999999970e+00 -3.769690000000000207e+00 -4.071649999999999991e+00 -4.375359999999999694e+00 -4.184079999999999799e+00 -2.647749999999999826e+00 -2.231489999999999974e+00 -2.634450000000000180e+00 -2.789660000000000029e+00 -2.483919999999999906e+00
