# ncomps =   19
 0011  0.1024213877070554E-022  0.1466501411532966E-065  0.2869280125974437E-001  0.3162708857421882E-001  0.2609967252548501E-005  0.4933754227283912E+000  0.9661578035193194E-001  0.7096500030547213E-001  0.1063784613745735E+000  0.4990999666026193E-001  0.1548927580312665E-001  0.1689236164838999E-001  0.2165755606833224E-003  0.1291559293249897E-002  0.1453750419910097E-005  0.1417260013758687E-001  0.3974719806574563E-001  0.1640055700109821E-001  0.1822125751785295E-001
 0012  0.9543192631867961E-023  0.1827822915905713E-065  0.3943500137128640E-001  0.3682796437774501E-001  0.4728826742028803E-005  0.4939357795220136E+000  0.9829682085137202E-001  0.7008445935228869E-001  0.1004392136466427E+000  0.4654145350732385E-001  0.1443666630318291E-001  0.1574271687557072E-001  0.2017960384174463E-003  0.1203420422482866E-002  0.1354543265254972E-005  0.1320543045395511E-001  0.3703837348238455E-001  0.1534055288817743E-001  0.1726426753714945E-001
 0013  0.8879814284299651E-023  0.2186230519843899E-065  0.5289303608536111E-001  0.4193007746405646E-001  0.7789558438436841E-005  0.4921121864856425E+000  0.9931671137151972E-001  0.6891026398817549E-001  0.9467689185056533E-001  0.4334256795946567E-001  0.1343757477275476E-001  0.1465156663966163E-001  0.1877686051318559E-003  0.1119766738599105E-002  0.1260384537499504E-005  0.1228747784004243E-001  0.3446739657820729E-001  0.1433451858233440E-001  0.1632314509550627E-001
 0014  0.8251575603650358E-023  0.2529648718497033E-065  0.6900322990322873E-001  0.4682826969237091E-001  0.1195870591198200E-004  0.4879888418628509E+000  0.9971950729207689E-001  0.6747423077244975E-001  0.8910204925285344E-001  0.4031149245321745E-001  0.1249136193277863E-001  0.1361820780239370E-001  0.1744842089024219E-003  0.1040544254654121E-002  0.1171213470109015E-005  0.1141814988343352E-001  0.3203260788486073E-001  0.1338180063633690E-001  0.1540209224820990E-001
 0015  0.7638937054333759E-023  0.2858774772472454E-065  0.8825664568025669E-001  0.5158746092993306E-001  0.1757920757741900E-004  0.4814731184804511E+000  0.9954483435742384E-001  0.6575309732773761E-001  0.8355090971134305E-001  0.3735410175537490E-001  0.1156860230781459E-001  0.1261050146671104E-001  0.1615296779117920E-003  0.9632889863750428E-003  0.1084256657121847E-005  0.1057040867364860E-001  0.2965828022469368E-001  0.1245276463608018E-001  0.1447579232001038E-001
 0016  0.7051580066147134E-023  0.3160087222966608E-065  0.1103826122125163E+000  0.5605950676929410E-001  0.2482096553744838E-004  0.4726688913535708E+000  0.9881114790216669E-001  0.6378772336230758E-001  0.7811760137067419E-001  0.3451723095612655E-001  0.1068388061565002E-001  0.1164437274780943E-001  0.1491097310144279E-003  0.8892217869281301E-003  0.1000888263714294E-005  0.9757650934980853E-002  0.2738193461015308E-001  0.1156208997337880E-001  0.1356120381962789E-001
 0017  0.6501751711892040E-023  0.3421150875351088E-065  0.1347258804388821E+000  0.6009442328220055E-001  0.3370079436406186E-004  0.4619163884954311E+000  0.9758134550646316E-001  0.6164959696156100E-001  0.7292744746167704E-001  0.3186020652285800E-001  0.9855648886614086E-002  0.1073996738043098E-001  0.1374833392423463E-003  0.8198870434706929E-003  0.9228466177223942E-006  0.8996823610310452E-002  0.2525103530526477E-001  0.1072834520018790E-001  0.1268089692442403E-001
 0018  0.5986602713289382E-023  0.3640942270303415E-065  0.1609189892797256E+000  0.6368628530298330E-001  0.4423325757828723E-004  0.4495182407477007E+000  0.9593632760481775E-001  0.5937864300498367E-001  0.6797229564889500E-001  0.2936952160846424E-001  0.9079622134120538E-002  0.9892599857087394E-002  0.1265902543305911E-003  0.7549254550266271E-003  0.8497272979255005E-006  0.8283984000692182E-002  0.2325453947573200E-001  0.9947205536098005E-002  0.1183514710446629E-001
 0019  0.5508820260623472E-023  0.3815944902804971E-065  0.1885518172932035E+000  0.6679052668143409E-001  0.5647168126388427E-004  0.4357422257573707E+000  0.9393590421580530E-001  0.5701713990754913E-001  0.6328930121706167E-001  0.2705832754299505E-001  0.8359852613262117E-002  0.9106691081290398E-002  0.1164872989610026E-003  0.6946758832427931E-003  0.7819117194423209E-006  0.7622850518784744E-002  0.2140286136131435E-001  0.9222743077269405E-002  0.1103134195747246E-001
 0020  0.5057733791516302E-023  0.3950879805885939E-065  0.2177474197269660E+000  0.6947541936368905E-001  0.7066626020115335E-004  0.4206313262263974E+000  0.9161490970826540E-001  0.5455725039640535E-001  0.5878986930347042E-001  0.2487522714597428E-001  0.7680271286737824E-002  0.8364689972019251E-002  0.1069488395485187E-003  0.6377927433470701E-003  0.7178853219464990E-006  0.6998657729204228E-002  0.1965464627229799E-001  0.8538774646748463E-002  0.1025541249340573E-001
