  1.2951784019E+012  3.6415220905E+001  1.9523916462E+033
  1.2963149723E+012  4.5036700032E+001  2.0771647190E+033
  1.2974034787E+012  5.5544912032E+001  2.2019377919E+033
  1.2984621217E+012  6.8031839484E+001  2.3267108647E+033
  1.2994749440E+012  8.5533963487E+001  2.4514839376E+033
  1.3004462074E+012  1.0834122105E+002  2.5762570105E+033
  1.3013874453E+012  1.3753951193E+002  2.7010300833E+033
  1.3022960554E+012  1.7810574932E+002  2.8258031562E+033
  1.3031779991E+012  2.3388482876E+002  2.9505762290E+033
  1.3040317064E+012  3.1561144987E+002  3.0753493019E+033
  1.3048600353E+012  4.3824127718E+002  3.2001223748E+033
  1.3056604763E+012  6.3605576579E+002  3.3248954476E+033
  1.3062514491E+012  1.2152170488E+003  3.4496685205E+033
  1.3067013724E+012  2.1597399910E+003  3.5744415933E+033
  1.3069985676E+012  4.1961609186E+003  3.6992146662E+033
  1.3072318395E+012  6.5150128191E+003  3.8239877390E+033
  1.3074229121E+012  9.4609949828E+003  3.9487608119E+033
  1.3075935770E+012  1.2439052883E+004  4.0735338848E+033
  1.3077456334E+012  1.6304732689E+004  4.1983069576E+033
  1.3078870071E+012  2.0422006081E+004  4.3230800305E+033
  1.3080180847E+012  2.5658088036E+004  4.4478531033E+033
  1.3081412700E+012  3.1839990422E+004  4.5726261762E+033
  1.3082569302E+012  3.9639687272E+004  4.6973992491E+033
  1.3083666804E+012  4.8991558028E+004  4.8221723219E+033
  1.3084714659E+012  6.0485206603E+004  4.9469453948E+033
  1.3085718746E+012  7.4897085283E+004  5.0717184676E+033
  1.3086678014E+012  9.3727436199E+004  5.1964915405E+033
  1.3087605586E+012  1.1699083318E+005  5.3212646133E+033
  1.3088501491E+012  1.4798999596E+005  5.4460376862E+033
  1.3089358493E+012  1.9153782243E+005  5.5708107591E+033
  1.3090191375E+012  2.4803757440E+005  5.6955838319E+033
  1.3090995060E+012  3.3042750503E+005  5.8203569048E+033
  1.3091765444E+012  4.5403783298E+005  5.9451299776E+033
  1.3092505614E+012  6.4147929699E+005  6.0699030505E+033
  1.3093192194E+012  9.7076440818E+005  6.1946761234E+033
  1.3093810354E+012  1.5615583924E+006  6.3194491962E+033
  1.3094369734E+012  2.5889121504E+006  6.4442222691E+033
  1.3094862865E+012  4.6004681540E+006  6.5689953419E+033
  1.3095256852E+012  9.2840475905E+006  6.6937684148E+033
  1.3095492131E+012  2.3830695903E+007  6.8185414877E+033
  1.3095654882E+012  4.7695783103E+007  6.9433145605E+033
  1.3095768099E+012  8.9020486387E+007  7.0680876334E+033
